request_id,lease_id,status,logged_by,ticket_number,log_date,problem,urgency,category,created_at,updated_at,deleted_at,image_path,assigned_to,expected_completion_date
17,132,Completed,Clark West,TICKET-000017,2021-01-17,Exhaust fan noise,Level 1,Appliance,2021-01-17 00:00:00,2021-01-17 00:00:00,,,,
18,153,Completed,Marcus Manager,TICKET-000018,2021-01-20,Pipe leakage,Level 4,Plumbing,2021-01-20 00:00:00,2021-01-20 00:00:00,,,,
19,158,Completed,Bernita Crona,TICKET-000019,2021-01-18,Low water pressure,Level 1,Plumbing,2021-01-18 00:00:00,2021-01-18 00:00:00,,,,
20,183,Completed,Bernita Crona,TICKET-000020,2021-01-04,Light fixture malfunction,Level 1,Electrical,2021-01-04 00:00:00,2021-01-04 00:00:00,,,,
21,192,Completed,Marcus Manager,TICKET-000021,2021-01-23,Door frame damage,Level 2,Structural,2021-01-23 00:00:00,2021-01-23 00:00:00,,,,
22,196,Completed,Marcus Manager,TICKET-000022,2021-01-14,Wiring problem,Level 3,Electrical,2021-01-14 00:00:00,2021-01-14 00:00:00,,,,
23,195,Completed,King Bruen,TICKET-000023,2021-01-15,AC remote issue,Level 2,Appliance,2021-01-15 00:00:00,2021-01-15 00:00:00,,,,
24,267,Completed,Clark West,TICKET-000024,2021-01-21,Electrical panel inspection,Level 3,Electrical,2021-01-21 00:00:00,2021-01-21 00:00:00,,,,
25,260,Completed,Marcus Manager,TICKET-000025,2021-01-25,Loose tiles,Level 3,Structural,2021-01-25 00:00:00,2021-01-25 00:00:00,,,,
26,259,Completed,Mia Martinez,TICKET-000026,2021-01-23,Exhaust fan noise,Level 2,Appliance,2021-01-23 00:00:00,2021-01-23 00:00:00,,,,
27,174,Completed,Marcus Manager,TICKET-000027,2021-02-05,Wall damage,Level 3,Structural,2021-02-05 00:00:00,2021-02-05 00:00:00,,,,
28,13,Completed,Bernita Crona,TICKET-000028,2021-02-11,Door frame damage,Level 4,Structural,2021-02-11 00:00:00,2021-02-11 00:00:00,,,,
29,14,Completed,Marcus Manager,TICKET-000029,2021-02-17,Sink drainage issue,Level 4,Plumbing,2021-02-17 00:00:00,2021-02-17 00:00:00,,,,
30,18,Completed,Mia Martinez,TICKET-000030,2021-02-15,Flooring issue,Level 1,Structural,2021-02-15 00:00:00,2021-02-15 00:00:00,,,,
31,23,Pending,Marcus Manager,TICKET-000031,2021-02-07,Termite inspection,Level 2,Pest Control,2021-02-07 00:00:00,2021-02-07 00:00:00,,,,
32,31,Completed,King Bruen,TICKET-000032,2021-02-07,Switch not working,Level 1,Electrical,2021-02-07 00:00:00,2021-02-07 00:00:00,,,,
33,37,Completed,Clark West,TICKET-000033,2021-02-24,Refrigerator not cooling,Level 1,Appliance,2021-02-24 00:00:00,2021-02-24 00:00:00,,,,
34,71,Completed,King Bruen,TICKET-000034,2021-02-21,General pest treatment,Level 3,Pest Control,2021-02-21 00:00:00,2021-02-21 00:00:00,,,,
35,142,Completed,Bernita Crona,TICKET-000035,2021-02-02,Sink drainage issue,Level 1,Plumbing,2021-02-02 00:00:00,2021-02-02 00:00:00,,,,
36,82,Completed,Bernita Crona,TICKET-000036,2021-02-27,Water heater broken,Level 4,Plumbing,2021-02-27 00:00:00,2021-02-27 00:00:00,,,,
37,83,Completed,Marcus Manager,TICKET-000037,2021-02-20,Dryer not working,Level 3,Appliance,2021-02-20 00:00:00,2021-02-20 00:00:00,,,,
38,94,Completed,Marcus Manager,TICKET-000038,2021-02-07,Spider infestation,Level 1,Pest Control,2021-02-07 00:00:00,2021-02-07 00:00:00,,,,
39,93,Completed,Marcus Manager,TICKET-000039,2021-02-03,Cockroach sighting,Level 4,Pest Control,2021-02-03 00:00:00,2021-02-03 00:00:00,,,,
40,100,Completed,King Bruen,TICKET-000040,2021-02-01,Power outlet not working,Level 4,Electrical,2021-02-01 00:00:00,2021-02-01 00:00:00,,,,
41,137,Completed,Mia Martinez,TICKET-000041,2021-02-04,Exhaust fan noise,Level 2,Appliance,2021-02-04 00:00:00,2021-02-04 00:00:00,,,,
42,154,Completed,Marcus Manager,TICKET-000042,2021-02-26,Window frame repair,Level 3,Structural,2021-02-26 00:00:00,2021-02-26 00:00:00,,,,
43,155,Completed,Mia Martinez,TICKET-000043,2021-02-14,Low water pressure,Level 4,Plumbing,2021-02-14 00:00:00,2021-02-14 00:00:00,,,,
44,191,Completed,Bernita Crona,TICKET-000044,2021-02-24,Washing machine malfunction,Level 3,Appliance,2021-02-24 00:00:00,2021-02-24 00:00:00,,,,
45,193,Completed,Clark West,TICKET-000045,2021-02-06,Rodent activity,Level 4,Pest Control,2021-02-06 00:00:00,2021-02-06 00:00:00,,,,
46,223,Completed,King Bruen,TICKET-000046,2021-02-26,Washing machine malfunction,Level 2,Appliance,2021-02-26 00:00:00,2021-02-26 00:00:00,,,,
47,223,Completed,King Bruen,TICKET-000047,2021-02-19,Rodent activity,Level 4,Pest Control,2021-02-19 00:00:00,2021-02-19 00:00:00,,,,
48,239,Completed,Bernita Crona,TICKET-000048,2021-02-10,Circuit breaker tripping,Level 3,Electrical,2021-02-10 00:00:00,2021-02-10 00:00:00,,,,
49,276,Completed,Clark West,TICKET-000049,2021-02-06,Oven issue,Level 3,Appliance,2021-02-06 00:00:00,2021-02-06 00:00:00,,,,
50,251,Completed,King Bruen,TICKET-000050,2021-02-06,Leaking faucet,Level 1,Plumbing,2021-02-06 00:00:00,2021-02-06 00:00:00,,,,
51,1,Completed,Mia Martinez,TICKET-000051,2021-03-13,Cockroach sighting,Level 3,Pest Control,2021-03-13 00:00:00,2021-03-13 00:00:00,,,,
52,5,Completed,Bernita Crona,TICKET-000052,2021-03-28,Window frame repair,Level 2,Structural,2021-03-28 00:00:00,2021-03-28 00:00:00,,,,
53,262,Completed,Clark West,TICKET-000053,2021-03-02,Ant infestation,Level 4,Pest Control,2021-03-02 00:00:00,2021-03-02 00:00:00,,,,
54,14,Completed,Marcus Manager,TICKET-000054,2021-03-27,Spider infestation,Level 2,Pest Control,2021-03-27 00:00:00,2021-03-27 00:00:00,,,,
55,43,Completed,Mia Martinez,TICKET-000055,2021-03-12,Flickering lights,Level 2,Electrical,2021-03-12 00:00:00,2021-03-12 00:00:00,,,,
56,50,Completed,Clark West,TICKET-000056,2021-03-18,Oven issue,Level 1,Appliance,2021-03-18 00:00:00,2021-03-18 00:00:00,,,,
57,60,Completed,Bernita Crona,TICKET-000057,2021-03-12,Wall crack,Level 2,Structural,2021-03-12 00:00:00,2021-03-12 00:00:00,,,,
58,149,Completed,Mia Martinez,TICKET-000058,2021-03-28,Refrigerator not cooling,Level 1,Appliance,2021-03-28 00:00:00,2021-03-28 00:00:00,,,,
59,149,Completed,King Bruen,TICKET-000059,2021-03-01,Electrical panel inspection,Level 1,Electrical,2021-03-01 00:00:00,2021-03-01 00:00:00,,,,
60,84,Completed,Mia Martinez,TICKET-000060,2021-03-10,Power outlet not working,Level 1,Electrical,2021-03-10 00:00:00,2021-03-10 00:00:00,,,,
61,85,Completed,Clark West,TICKET-000061,2021-03-30,Leaking faucet,Level 1,Plumbing,2021-03-30 00:00:00,2021-03-30 00:00:00,,,,
62,86,Completed,Clark West,TICKET-000062,2021-03-08,Clogged drain,Level 3,Plumbing,2021-03-08 00:00:00,2021-03-08 00:00:00,,,,
63,90,Completed,King Bruen,TICKET-000063,2021-03-14,Ant infestation,Level 1,Pest Control,2021-03-14 00:00:00,2021-03-14 00:00:00,,,,
64,92,Completed,Mia Martinez,TICKET-000064,2021-03-13,Dryer not working,Level 3,Appliance,2021-03-13 00:00:00,2021-03-13 00:00:00,,,,
65,99,Completed,King Bruen,TICKET-000065,2021-03-24,Light fixture malfunction,Level 1,Electrical,2021-03-24 00:00:00,2021-03-24 00:00:00,,,,
66,102,Completed,King Bruen,TICKET-000066,2021-03-23,Bed bug inspection,Level 4,Pest Control,2021-03-23 00:00:00,2021-03-23 00:00:00,,,,
67,118,Completed,King Bruen,TICKET-000067,2021-03-11,Exhaust fan noise,Level 1,Appliance,2021-03-11 00:00:00,2021-03-11 00:00:00,,,,
68,158,Completed,Mia Martinez,TICKET-000068,2021-03-26,Exhaust fan noise,Level 2,Appliance,2021-03-26 00:00:00,2021-03-26 00:00:00,,,,
69,157,Completed,Clark West,TICKET-000069,2021-03-16,Exhaust fan noise,Level 3,Appliance,2021-03-16 00:00:00,2021-03-16 00:00:00,,,,
70,183,Completed,King Bruen,TICKET-000070,2021-03-09,Leaking faucet,Level 1,Plumbing,2021-03-09 00:00:00,2021-03-09 00:00:00,,,,
71,188,Completed,Clark West,TICKET-000071,2021-03-09,Sink drainage issue,Level 4,Plumbing,2021-03-09 00:00:00,2021-03-09 00:00:00,,,,
72,201,Ongoing,Mia Martinez,TICKET-000072,2021-03-16,Rodent activity,Level 3,Pest Control,2021-03-16 00:00:00,2021-03-16 00:00:00,,,,
73,223,Completed,Mia Martinez,TICKET-000073,2021-03-07,Pipe leakage,Level 1,Plumbing,2021-03-07 00:00:00,2021-03-07 00:00:00,,,,
74,222,Completed,King Bruen,TICKET-000074,2021-03-06,Microwave not heating,Level 2,Appliance,2021-03-06 00:00:00,2021-03-06 00:00:00,,,,
75,2,Completed,Marcus Manager,TICKET-000075,2021-04-14,General pest treatment,Level 3,Pest Control,2021-04-14 00:00:00,2021-04-14 00:00:00,,,,
76,2,Completed,Marcus Manager,TICKET-000076,2021-04-01,Electrical panel inspection,Level 1,Electrical,2021-04-01 00:00:00,2021-04-01 00:00:00,,,,
77,10,Completed,Mia Martinez,TICKET-000077,2021-04-18,Switch not working,Level 2,Electrical,2021-04-18 00:00:00,2021-04-18 00:00:00,,,,
78,13,Completed,Mia Martinez,TICKET-000078,2021-04-26,Flickering lights,Level 1,Electrical,2021-04-26 00:00:00,2021-04-26 00:00:00,,,,
79,23,Completed,Clark West,TICKET-000079,2021-04-29,Dishwasher leakage,Level 3,Appliance,2021-04-29 00:00:00,2021-04-29 00:00:00,,,,
80,29,Completed,King Bruen,TICKET-000080,2021-04-21,Cockroach sighting,Level 4,Pest Control,2021-04-21 00:00:00,2021-04-21 00:00:00,,,,
81,35,Completed,Bernita Crona,TICKET-000081,2021-04-14,Flooring issue,Level 2,Structural,2021-04-14 00:00:00,2021-04-14 00:00:00,,,,
82,41,Completed,Mia Martinez,TICKET-000082,2021-04-07,Cockroach sighting,Level 2,Pest Control,2021-04-07 00:00:00,2021-04-07 00:00:00,,,,
83,107,Completed,Bernita Crona,TICKET-000083,2021-04-16,Exhaust fan noise,Level 2,Appliance,2021-04-16 00:00:00,2021-04-16 00:00:00,,,,
84,214,Completed,Clark West,TICKET-000084,2021-04-03,Termite inspection,Level 4,Pest Control,2021-04-03 00:00:00,2021-04-03 00:00:00,,,,
85,72,Completed,Clark West,TICKET-000085,2021-04-14,Pipe leakage,Level 1,Plumbing,2021-04-14 00:00:00,2021-04-14 00:00:00,,,,
86,64,Completed,Bernita Crona,TICKET-000086,2021-04-18,Water heater broken,Level 2,Plumbing,2021-04-18 00:00:00,2021-04-18 00:00:00,,,,
87,97,Completed,Bernita Crona,TICKET-000087,2021-04-07,Leaking faucet,Level 1,Plumbing,2021-04-07 00:00:00,2021-04-07 00:00:00,,,,
88,118,Completed,Bernita Crona,TICKET-000088,2021-04-19,Leaking faucet,Level 1,Plumbing,2021-04-19 00:00:00,2021-04-19 00:00:00,,,,
89,129,Completed,Bernita Crona,TICKET-000089,2021-04-13,Pipe leakage,Level 3,Plumbing,2021-04-13 00:00:00,2021-04-13 00:00:00,,,,
90,167,Completed,Mia Martinez,TICKET-000090,2021-04-25,Power outlet not working,Level 1,Electrical,2021-04-25 00:00:00,2021-04-25 00:00:00,,,,
91,139,Completed,Clark West,TICKET-000091,2021-04-11,Flooring issue,Level 3,Structural,2021-04-11 00:00:00,2021-04-11 00:00:00,,,,
92,153,Completed,Bernita Crona,TICKET-000092,2021-04-21,Mosquito problem,Level 3,Pest Control,2021-04-21 00:00:00,2021-04-21 00:00:00,,,,
93,152,Completed,Marcus Manager,TICKET-000093,2021-04-30,Dripping shower head,Level 1,Plumbing,2021-04-30 00:00:00,2021-04-30 00:00:00,,,,
94,185,Completed,King Bruen,TICKET-000094,2021-04-28,Door not closing,Level 2,Structural,2021-04-28 00:00:00,2021-04-28 00:00:00,,,,
95,186,Completed,Mia Martinez,TICKET-000095,2021-04-15,AC unit electrical issues,Level 1,Electrical,2021-04-15 00:00:00,2021-04-15 00:00:00,,,,
96,222,Completed,King Bruen,TICKET-000096,2021-04-12,Pipe leakage,Level 4,Plumbing,2021-04-12 00:00:00,2021-04-12 00:00:00,,,,
97,231,Completed,Clark West,TICKET-000097,2021-04-23,Low water pressure,Level 2,Plumbing,2021-04-23 00:00:00,2021-04-23 00:00:00,,,,
98,275,Completed,Mia Martinez,TICKET-000098,2021-04-19,Water heater broken,Level 2,Plumbing,2021-04-19 00:00:00,2021-04-19 00:00:00,,,,
99,272,Completed,Marcus Manager,TICKET-000099,2021-04-09,Ant infestation,Level 3,Pest Control,2021-04-09 00:00:00,2021-04-09 00:00:00,,,,
100,243,Completed,Bernita Crona,TICKET-000100,2021-04-22,Microwave not heating,Level 2,Appliance,2021-04-22 00:00:00,2021-04-22 00:00:00,,,,
101,245,Completed,Mia Martinez,TICKET-000101,2021-04-28,AC unit electrical issues,Level 2,Electrical,2021-04-28 00:00:00,2021-04-28 00:00:00,,,,
102,1,Completed,Clark West,TICKET-000102,2021-05-09,Sink drainage issue,Level 2,Plumbing,2021-05-09 00:00:00,2021-05-09 00:00:00,,,,
103,178,Completed,King Bruen,TICKET-000103,2021-05-20,AC unit electrical issues,Level 1,Electrical,2021-05-20 00:00:00,2021-05-20 00:00:00,,,,
104,45,Completed,Marcus Manager,TICKET-000104,2021-05-07,Oven issue,Level 1,Appliance,2021-05-07 00:00:00,2021-05-07 00:00:00,,,,
105,51,Completed,King Bruen,TICKET-000105,2021-05-28,Door not closing,Level 2,Structural,2021-05-28 00:00:00,2021-05-28 00:00:00,,,,
106,216,Completed,Mia Martinez,TICKET-000106,2021-05-10,Mosquito problem,Level 3,Pest Control,2021-05-10 00:00:00,2021-05-10 00:00:00,,,,
107,83,Completed,Mia Martinez,TICKET-000107,2021-05-23,Light fixture malfunction,Level 4,Electrical,2021-05-23 00:00:00,2021-05-23 00:00:00,,,,
108,85,Completed,King Bruen,TICKET-000108,2021-05-21,Dishwasher leakage,Level 2,Appliance,2021-05-21 00:00:00,2021-05-21 00:00:00,,,,
109,87,Completed,Clark West,TICKET-000109,2021-05-02,Water heater broken,Level 1,Plumbing,2021-05-02 00:00:00,2021-05-02 00:00:00,,,,
110,102,Completed,Bernita Crona,TICKET-000110,2021-05-08,Door not closing,Level 3,Structural,2021-05-08 00:00:00,2021-05-08 00:00:00,,,,
111,97,Completed,Bernita Crona,TICKET-000111,2021-05-18,Electrical panel inspection,Level 2,Electrical,2021-05-18 00:00:00,2021-05-18 00:00:00,,,,
112,119,Completed,Bernita Crona,TICKET-000112,2021-05-10,Wall crack,Level 3,Structural,2021-05-10 00:00:00,2021-05-10 00:00:00,,,,
113,132,Completed,Marcus Manager,TICKET-000113,2021-05-16,Dripping shower head,Level 1,Plumbing,2021-05-16 00:00:00,2021-05-16 00:00:00,,,,
114,163,Completed,King Bruen,TICKET-000114,2021-05-12,Electrical panel inspection,Level 2,Electrical,2021-05-12 00:00:00,2021-05-12 00:00:00,,,,
115,166,Completed,Bernita Crona,TICKET-000115,2021-05-07,Cockroach sighting,Level 3,Pest Control,2021-05-07 00:00:00,2021-05-07 00:00:00,,,,
116,150,Completed,King Bruen,TICKET-000116,2021-05-26,AC unit electrical issues,Level 1,Electrical,2021-05-26 00:00:00,2021-05-26 00:00:00,,,,
117,302,Ongoing,King Bruen,TICKET-000117,2021-05-08,Ceiling crack,Level 2,Structural,2021-05-08 00:00:00,2021-05-08 00:00:00,,,,
118,293,Completed,Mia Martinez,TICKET-000118,2021-05-28,Switch not working,Level 1,Electrical,2021-05-28 00:00:00,2021-05-28 00:00:00,,,,
119,190,Completed,King Bruen,TICKET-000119,2021-05-28,Door not closing,Level 2,Structural,2021-05-28 00:00:00,2021-05-28 00:00:00,,,,
120,273,Completed,Bernita Crona,TICKET-000120,2021-05-06,Termite inspection,Level 2,Pest Control,2021-05-06 00:00:00,2021-05-06 00:00:00,,,,
121,271,Completed,Marcus Manager,TICKET-000121,2021-05-08,Pipe leakage,Level 2,Plumbing,2021-05-08 00:00:00,2021-05-08 00:00:00,,,,
122,253,Completed,Mia Martinez,TICKET-000122,2021-05-25,Electrical panel inspection,Level 3,Electrical,2021-05-25 00:00:00,2021-05-25 00:00:00,,,,
123,245,Completed,Marcus Manager,TICKET-000123,2021-05-15,Pipe leakage,Level 2,Plumbing,2021-05-15 00:00:00,2021-05-15 00:00:00,,,,
124,260,Completed,Mia Martinez,TICKET-000124,2021-05-09,Loose tiles,Level 1,Structural,2021-05-09 00:00:00,2021-05-09 00:00:00,,,,
125,2,Pending,Marcus Manager,TICKET-000125,2021-06-15,Leaking faucet,Level 4,Plumbing,2021-06-15 00:00:00,2021-06-15 00:00:00,,,,
126,8,Completed,Marcus Manager,TICKET-000126,2021-06-01,Refrigerator not cooling,Level 3,Appliance,2021-06-01 00:00:00,2021-06-01 00:00:00,,,,
127,10,Completed,Mia Martinez,TICKET-000127,2021-06-27,Ceiling crack,Level 1,Structural,2021-06-27 00:00:00,2021-06-27 00:00:00,,,,
128,14,Completed,Mia Martinez,TICKET-000128,2021-06-09,Dishwasher leakage,Level 3,Appliance,2021-06-09 00:00:00,2021-06-09 00:00:00,,,,
129,20,Completed,Mia Martinez,TICKET-000129,2021-06-01,Ceiling crack,Level 2,Structural,2021-06-01 00:00:00,2021-06-01 00:00:00,,,,
130,213,Completed,Marcus Manager,TICKET-000130,2021-06-15,General pest treatment,Level 4,Pest Control,2021-06-15 00:00:00,2021-06-15 00:00:00,,,,
131,107,Completed,Mia Martinez,TICKET-000131,2021-06-03,Ceiling crack,Level 1,Structural,2021-06-03 00:00:00,2021-06-03 00:00:00,,,,
132,113,Pending,Mia Martinez,TICKET-000132,2021-06-24,Wiring problem,Level 2,Electrical,2021-06-24 00:00:00,2021-06-24 00:00:00,,,,
133,63,Completed,Mia Martinez,TICKET-000133,2021-06-13,Sink drainage issue,Level 2,Plumbing,2021-06-13 00:00:00,2021-06-13 00:00:00,,,,
134,144,Completed,Mia Martinez,TICKET-000134,2021-06-20,Flooring issue,Level 2,Structural,2021-06-20 00:00:00,2021-06-20 00:00:00,,,,
135,149,Ongoing,King Bruen,TICKET-000135,2021-06-16,Dishwasher leakage,Level 2,Appliance,2021-06-16 00:00:00,2021-06-16 00:00:00,,,,
136,85,Completed,Clark West,TICKET-000136,2021-06-11,Wall damage,Level 3,Structural,2021-06-11 00:00:00,2021-06-11 00:00:00,,,,
137,95,Completed,Bernita Crona,TICKET-000137,2021-06-30,Wall damage,Level 1,Structural,2021-06-30 00:00:00,2021-06-30 00:00:00,,,,
138,118,Completed,Clark West,TICKET-000138,2021-06-06,Loose tiles,Level 1,Structural,2021-06-06 00:00:00,2021-06-06 00:00:00,,,,
139,166,Completed,Bernita Crona,TICKET-000139,2021-06-29,Spider infestation,Level 3,Pest Control,2021-06-29 00:00:00,2021-06-29 00:00:00,,,,
140,284,Completed,King Bruen,TICKET-000140,2021-06-08,Leaking faucet,Level 2,Plumbing,2021-06-08 00:00:00,2021-06-08 00:00:00,,,,
141,158,Completed,Mia Martinez,TICKET-000141,2021-06-20,Low water pressure,Level 1,Plumbing,2021-06-20 00:00:00,2021-06-20 00:00:00,,,,
142,156,Completed,King Bruen,TICKET-000142,2021-06-02,Mosquito problem,Level 2,Pest Control,2021-06-02 00:00:00,2021-06-02 00:00:00,,,,
143,301,Completed,Marcus Manager,TICKET-000143,2021-06-30,Exhaust fan noise,Level 2,Appliance,2021-06-30 00:00:00,2021-06-30 00:00:00,,,,
144,186,Completed,Clark West,TICKET-000144,2021-06-24,Dryer not working,Level 4,Appliance,2021-06-24 00:00:00,2021-06-24 00:00:00,,,,
145,196,Completed,Clark West,TICKET-000145,2021-06-05,Cockroach sighting,Level 2,Pest Control,2021-06-05 00:00:00,2021-06-05 00:00:00,,,,
146,241,Completed,Bernita Crona,TICKET-000146,2021-06-16,Door frame damage,Level 2,Structural,2021-06-16 00:00:00,2021-06-16 00:00:00,,,,
147,277,Completed,Clark West,TICKET-000147,2021-06-20,Pipe leakage,Level 1,Plumbing,2021-06-20 00:00:00,2021-06-20 00:00:00,,,,
148,246,Completed,King Bruen,TICKET-000148,2021-06-09,Wiring problem,Level 2,Electrical,2021-06-09 00:00:00,2021-06-09 00:00:00,,,,
149,1,Completed,Clark West,TICKET-000149,2021-07-26,Cockroach sighting,Level 4,Pest Control,2021-07-26 00:00:00,2021-07-26 00:00:00,,,,
150,2,Completed,Marcus Manager,TICKET-000150,2021-07-07,Microwave not heating,Level 1,Appliance,2021-07-07 00:00:00,2021-07-07 00:00:00,,,,
151,264,Completed,Bernita Crona,TICKET-000151,2021-07-02,Washing machine malfunction,Level 1,Appliance,2021-07-02 00:00:00,2021-07-02 00:00:00,,,,
152,265,Completed,Mia Martinez,TICKET-000152,2021-07-12,Wiring problem,Level 1,Electrical,2021-07-12 00:00:00,2021-07-12 00:00:00,,,,
153,15,Completed,Clark West,TICKET-000153,2021-07-16,Window frame repair,Level 1,Structural,2021-07-16 00:00:00,2021-07-16 00:00:00,,,,
154,20,Completed,Marcus Manager,TICKET-000154,2021-07-20,Circuit breaker tripping,Level 2,Electrical,2021-07-20 00:00:00,2021-07-20 00:00:00,,,,
155,17,Completed,Bernita Crona,TICKET-000155,2021-07-16,AC unit electrical issues,Level 1,Electrical,2021-07-16 00:00:00,2021-07-16 00:00:00,,,,
156,40,Completed,Marcus Manager,TICKET-000156,2021-07-31,Window frame repair,Level 2,Structural,2021-07-31 00:00:00,2021-07-31 00:00:00,,,,
157,53,Completed,Marcus Manager,TICKET-000157,2021-07-18,Microwave not heating,Level 2,Appliance,2021-07-18 00:00:00,2021-07-18 00:00:00,,,,
158,213,Completed,Clark West,TICKET-000158,2021-07-04,Running toilet,Level 3,Plumbing,2021-07-04 00:00:00,2021-07-04 00:00:00,,,,
159,145,Completed,Bernita Crona,TICKET-000159,2021-07-17,Oven issue,Level 3,Appliance,2021-07-17 00:00:00,2021-07-17 00:00:00,,,,
160,143,Completed,King Bruen,TICKET-000160,2021-07-25,Window frame repair,Level 2,Structural,2021-07-25 00:00:00,2021-07-25 00:00:00,,,,
161,85,Completed,Marcus Manager,TICKET-000161,2021-07-11,Ceiling crack,Level 2,Structural,2021-07-11 00:00:00,2021-07-11 00:00:00,,,,
162,85,Completed,Mia Martinez,TICKET-000162,2021-07-03,Wall damage,Level 2,Structural,2021-07-03 00:00:00,2021-07-03 00:00:00,,,,
163,182,Completed,Clark West,TICKET-000163,2021-07-11,Ant infestation,Level 2,Pest Control,2021-07-11 00:00:00,2021-07-11 00:00:00,,,,
164,94,Completed,Bernita Crona,TICKET-000164,2021-07-30,Exhaust fan noise,Level 2,Appliance,2021-07-30 00:00:00,2021-07-30 00:00:00,,,,
165,114,Completed,Bernita Crona,TICKET-000165,2021-07-30,Washing machine malfunction,Level 2,Appliance,2021-07-30 00:00:00,2021-07-30 00:00:00,,,,
166,129,Completed,Bernita Crona,TICKET-000166,2021-07-11,Switch not working,Level 2,Electrical,2021-07-11 00:00:00,2021-07-11 00:00:00,,,,
167,135,Completed,King Bruen,TICKET-000167,2021-07-02,Wiring problem,Level 1,Electrical,2021-07-02 00:00:00,2021-07-02 00:00:00,,,,
168,300,Completed,Mia Martinez,TICKET-000168,2021-07-16,Door not closing,Level 1,Structural,2021-07-16 00:00:00,2021-07-16 00:00:00,,,,
169,292,Completed,Clark West,TICKET-000169,2021-07-17,Oven issue,Level 3,Appliance,2021-07-17 00:00:00,2021-07-17 00:00:00,,,,
170,229,Completed,Mia Martinez,TICKET-000170,2021-07-18,Electrical panel inspection,Level 1,Electrical,2021-07-18 00:00:00,2021-07-18 00:00:00,,,,
171,226,Completed,Marcus Manager,TICKET-000171,2021-07-17,Dripping shower head,Level 2,Plumbing,2021-07-17 00:00:00,2021-07-17 00:00:00,,,,
172,277,Completed,Marcus Manager,TICKET-000172,2021-07-17,Water heater broken,Level 1,Plumbing,2021-07-17 00:00:00,2021-07-17 00:00:00,,,,
173,242,Completed,Clark West,TICKET-000173,2021-07-20,Dripping shower head,Level 2,Plumbing,2021-07-20 00:00:00,2021-07-20 00:00:00,,,,
174,259,Completed,Clark West,TICKET-000174,2021-07-02,Microwave not heating,Level 2,Appliance,2021-07-02 00:00:00,2021-07-02 00:00:00,,,,
175,261,Completed,Mia Martinez,TICKET-000175,2021-07-04,Clogged drain,Level 2,Plumbing,2021-07-04 00:00:00,2021-07-04 00:00:00,,,,
176,2,Completed,Marcus Manager,TICKET-000176,2021-08-23,Door not closing,Level 2,Structural,2021-08-23 00:00:00,2021-08-23 00:00:00,,,,
177,4,Completed,Marcus Manager,TICKET-000177,2021-08-29,Rodent activity,Level 3,Pest Control,2021-08-29 00:00:00,2021-08-29 00:00:00,,,,
